LECROYHDO6104A,50476,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,23-Jun-2025 11:38:38,0                 
Time,Ampl
2.7393861e-06,-0.00021875
2.7394861e-06,-0.00023125
2.7395861e-06,-0.0002
2.7396861e-06,-0.0001125
2.7397861e-06,-1.875e-05
2.7398861e-06,3.75e-05
2.7399861e-06,0
2.7400861e-06,-0.00014375
2.7401861e-06,-0.0003625
2.7402861e-06,-0.000575
2.7403861e-06,-0.0007
2.7404861e-06,-0.0007
2.7405861e-06,-0.000575
2.7406861e-06,-0.00038125
2.7407861e-06,-0.0002
2.7408861e-06,-0.00010625
2.7409861e-06,-0.000125
2.7410861e-06,-0.00024375
2.7411861e-06,-0.0004
2.7412861e-06,-0.00053125
2.7413861e-06,-0.00058125
2.7414861e-06,-0.00053125
2.7415861e-06,-0.0004
2.7416861e-06,-0.00021875
2.7417861e-06,-3.75e-05
2.7418861e-06,0.0001125
2.7419861e-06,0.0002
2.7420861e-06,0.0002125
2.7421861e-06,0.00015625
2.7422861e-06,4.375e-05
2.7423861e-06,-0.0001
2.7424861e-06,-0.0002375
2.7425861e-06,-0.00034375
2.7426861e-06,-0.00039375
2.7427861e-06,-0.0004
2.7428861e-06,-0.000375
2.7429861e-06,-0.00035625
2.7430861e-06,-0.00036875
2.7431861e-06,-0.0004
2.7432861e-06,-0.00043125
2.7433861e-06,-0.000425
2.7434861e-06,-0.00035
2.7435861e-06,-0.0002
2.7436861e-06,-2.5e-05
2.7437861e-06,0.00011875
2.7438861e-06,0.00016875
2.7439861e-06,0.0001
2.7440861e-06,-6.25e-05
2.7441861e-06,-0.00025
2.7442861e-06,-0.00038125
2.7443861e-06,-0.0004
2.7444861e-06,-0.0003125
2.7445861e-06,-0.00018125
2.7446861e-06,-8.75e-05
2.7447861e-06,-0.0001
2.7448861e-06,-0.0002375
2.7449861e-06,-0.00045
2.7450861e-06,-0.0006375
2.7451861e-06,-0.0007
2.7452861e-06,-0.0005875
2.7453861e-06,-0.00031875
2.7454861e-06,1.875e-05
2.7455861e-06,0.0003
2.7456861e-06,0.00043125
2.7457861e-06,0.0003625
2.7458861e-06,0.000125
2.7459861e-06,-0.0002
2.7460861e-06,-0.00050625
2.7461861e-06,-0.0007125
2.7462861e-06,-0.000775
2.7463861e-06,-0.0007
2.7464861e-06,-0.00053125
2.7465861e-06,-0.0003375
2.7466861e-06,-0.00018125
2.7467861e-06,-0.0001
2.7468861e-06,-0.00011875
2.7469861e-06,-0.00021875
2.7470861e-06,-0.0003625
2.7471861e-06,-0.0005
2.7472861e-06,-0.00055625
2.7473861e-06,-0.00049375
2.7474861e-06,-0.00029375
2.7475861e-06,0
2.7476861e-06,0.00030625
2.7477861e-06,0.00051875
2.7478861e-06,0.0005625
2.7479861e-06,0.0004
2.7480861e-06,8.125e-05
2.7481861e-06,-0.0002875
2.7482861e-06,-0.00058125
2.7483861e-06,-0.0007
2.7484861e-06,-0.0006125
2.7485861e-06,-0.00036875
2.7486861e-06,-6.25e-05
2.7487861e-06,0.0002
2.7488861e-06,0.0003375
2.7489861e-06,0.0003375
2.7490861e-06,0.0002375
2.7491861e-06,0.0001
2.7492861e-06,-1.25e-05
2.7493861e-06,-8.125e-05
